,Angela,Captain America,Deadpool Vanguard,Devil Dinosaur,Doctor Strange,Emma Frost,Groot,Hulk,Magneto,Peni Parker,Rogue,The Hood,The Thing,Thor,Venom,Black Cat,Black Panther,Black Widow,Blade,Cyclops,Daredevil,Deadpool Duelist,Elsa Bloodstone,Gorr The God Butcher,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Phoenix,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Deadpool Strategist,Gambit,Invisible Woman,Jeff The Land Shark,Jubilee,Loki,Luna Snow,Mantis,Rocket Raccoon,Ultron,White Fox
Adam Warlock,1579,1560,2902,4337,8694,9186,1718,2876,12064,1556,2807,7890,3621,3180,3208,1157,1458,2337,1579,2485,2119,1327,2735,6941,815,5824,1068,3162,1437,3063,1336,1717,3920,1314,3560,5189,4450,803,1758,946,3470,7334,1837,3945,10944,3266,7755,10716,3832,9286,2803,8740,3297,6945,1752,5349
Cloak & Dagger,16158,18120,27298,47066,96296,100590,18659,33500,126711,16606,29868,88588,40707,34880,35537,11403,15887,22979,18545,29740,23272,15334,27985,73750,8968,55758,11461,35363,15354,36508,15408,21297,43894,14340,37150,58087,45378,10314,18575,9711,35488,77813,19447,10944,39413,32300,73547,99942,35415,99088,27542,84187,29648,67793,14836,52714
Deadpool Strategist,4129,5043,7657,14889,25965,26913,5118,9059,32611,5075,8481,23661,11320,9546,9557,3111,4174,5927,5012,7884,6041,3957,7734,23743,2289,15679,2992,9767,4061,9561,4260,5512,11971,3778,10741,17209,12423,2651,5131,2579,9832,20538,5340,3266,32300,11523,21818,30205,10564,29403,7941,24386,7885,21489,4560,17072
Gambit,10451,11633,19561,33415,68248,68516,11690,23176,95114,11670,32610,59733,29703,24868,23179,7319,10237,17405,12783,21311,14554,12379,19720,52421,6213,41448,7848,24024,10718,24336,10889,14436,31717,10560,25188,41714,28468,6783,13552,6848,26869,57977,15335,7755,73547,21818,28131,68969,23989,68145,19240,53432,19396,48551,10247,35530
Invisible Woman,14787,13958,26675,44189,85785,93067,16662,27665,121828,14796,25080,76538,36162,28822,27529,8810,11765,22711,14614,25270,16207,12495,28645,63964,7905,56372,9516,28865,12834,28926,12783,17972,39927,13619,33001,51764,34525,8599,15860,8691,35666,76766,20132,10716,99942,30205,68969,36000,33787,90624,28373,85192,29317,68386,13610,49168
Jeff The Land Shark,4888,5189,9143,16011,28094,30302,5598,9572,36688,5283,9003,25672,12623,10455,9980,3275,4218,7085,5428,8374,6532,4221,8948,24267,2590,18081,3296,10487,4583,10173,4427,6033,14266,4366,11528,18544,12975,3054,5607,2941,11415,23858,5853,3832,35415,10564,23989,33787,12657,31300,8991,28399,9178,22739,4801,18255
Jubilee,12125,13272,21775,42319,79817,81937,15373,25195,102900,14418,24268,76336,33312,27231,27879,8004,11429,17808,15452,26569,16341,12834,23483,60175,7439,44759,9306,27472,13454,28714,13333,19433,38473,12595,28264,52599,31250,9721,14877,8459,31519,64024,15531,9286,99088,29403,68145,90624,31300,33257,21808,70784,23264,62799,13178,48031
Loki,3380,4086,7284,12375,22145,24743,4252,7392,31521,3968,7148,19607,9683,7877,7627,2499,3529,5793,3914,6320,5154,3359,7718,18988,1835,14774,2243,8096,2913,7624,3329,4972,10005,3367,9216,13640,9145,1951,4194,2149,9030,19804,4969,2803,27542,7941,19240,28373,8991,21808,9888,21891,7882,17744,3376,12647
Luna Snow,10785,11722,22187,36135,68303,73766,13260,22975,95663,12601,20146,60464,28852,23690,23801,7616,10627,18252,11962,19051,15922,9904,21732,53373,6026,45579,8562,24198,10470,23529,10138,14007,32834,10592,27552,41832,33783,6420,12730,6572,27408,60206,14074,8740,84187,24386,53432,85192,28399,70784,21891,29380,22373,54564,11085,41577
Mantis,3941,3672,6678,12129,21875,26495,4828,7567,34944,3705,6824,21391,10968,8373,7938,2341,3498,7231,4136,7034,5504,3450,8025,15314,2092,15289,2544,8329,3475,8439,3703,5006,11040,3544,8244,12353,10523,2355,4627,2409,9613,21706,5217,3297,29648,7885,19396,29317,9178,23264,7882,22373,10298,19040,3764,13025
Rocket Raccoon,9455,10041,16325,30186,56322,59826,11348,19389,78098,10911,17629,52069,25223,20858,19493,5979,8491,14079,10714,17850,12746,8752,18576,45597,5459,34475,6635,20292,9229,20705,9356,12693,27239,9396,21586,35425,24007,6314,10966,5873,23187,49615,12632,6945,67793,21489,48551,68386,22739,62799,17744,54564,19040,24717,9737,34620
Ultron,1863,1958,3231,5860,11813,12094,2278,4003,15506,2145,3707,10669,5010,4273,3689,1252,1871,2828,2223,3905,2448,1831,3467,9540,937,6830,1405,3980,2283,4062,1868,2351,5611,1899,4094,7444,4337,1220,2369,1285,5211,9562,2395,1752,14836,4560,10247,13610,4801,13178,3376,11085,3764,9737,5180,7347
White Fox,7446,9468,12468,21941,42206,43955,7977,15924,53477,7432,14261,37838,18732,16509,18694,6634,9508,9013,8360,12315,13473,7327,11487,39496,3528,23105,4569,19244,6221,18247,7137,8838,19342,5646,17535,26642,25756,4229,7785,3805,14360,32403,8443,5349,52714,17072,35530,49168,18255,48031,12647,41577,13025,34620,7347,18874
